ID,Tree Time (sec)
1,3.1981730461120605
2,2.3848750591278076
3,5.8268091678619385
4,2.444477081298828
5,1.4787566661834717
6,2.616992950439453
7,2.1143949031829834
8,0.26468729972839355
9,33.483527421951294
10,90.45433402061462
11,8.26951289176941
12,0.9021649360656738
13,0.14579463005065918
14,1.3154895305633545
15,4.9037652015686035
16,2.2246599197387695
17,28.385758876800537
18,1.162095546722412
19,0.22400116920471191
20,2.6174793243408203
21,33.807042837142944
22,1.9378821849822998
23,3.723501205444336
24,10.740795612335205
25,0.8163330554962158
26,7.987570762634277
27,35.827306032180786
28,0.09662985801696777
29,7.68760871887207
30,0.8236236572265625
31,15.116617202758789
32,0.47019481658935547
33,13.40920639038086
34,3.3420064449310303
35,0.23871564865112305
36,0.06499886512756348
37,6.346977949142456
38,1.0009996891021729
39,29.78167462348938
40,15.85313630104065
41,11.067607164382935
42,4.139188051223755
43,13.35422968864441
44,0.9317729473114014
45,2.2953269481658936
46,86.07566595077515
47,12.424970626831055
48,1.95458984375
49,5.1020002365112305
50,15.588187217712402
51,0.2568361759185791
52,0.689971923828125
53,42.72399187088013
54,15.439337730407715
55,13.720408201217651
56,2.139922618865967
57,12.13334059715271
58,24.240773916244507
59,58.37856912612915
60,16.88956117630005
61,5.37864351272583
62,23.331454277038574
63,0.17516827583312988
64,12.267632961273193
65,7.1590893268585205
66,29.957396268844604
67,30.45973777770996
68,0.03158235549926758
69,0.3106684684753418
70,70.22981882095337
71,0.743217945098877
72,22.23366093635559
73,10.695223093032837
74,1.0577850341796875
75,17.025006771087646
76,9.22885251045227
77,1.3633723258972168
78,9.937132120132446
79,1.4141819477081299
80,5.869951486587524
81,34.48687243461609
82,0.7936670780181885
83,4.50574803352356
84,33.169025182724
85,0.8929057121276855
86,17.039221048355103
87,23.94449019432068
88,6.51647162437439
89,78.47028017044067
90,2.151569128036499
91,3.2714109420776367
92,2.1704368591308594
93,12.625057458877563
94,16.724725246429443
95,86.96800756454468
96,2.458434820175171
97,21.3148136138916
98,11.537755250930786
99,4.996558666229248
100,11.56131625175476
101,6.899891138076782
102,5.978733539581299
103,3.095925807952881
104,69.60703897476196
105,8.655385494232178
106,5.933521270751953
107,7.7605743408203125
108,0.6116902828216553
109,60.711230993270874
110,13.707738876342773
111,19.536994695663452
112,3.17136812210083
113,0.9799363613128662
114,0.2969386577606201
115,0.4143397808074951
116,9.207465887069702
117,0.40775561332702637
118,0.47665929794311523
119,5.294339895248413
120,14.659444332122803
121,7.721683025360107
122,108.12756323814392
123,4.1939592361450195
124,0.7242345809936523
125,2.323734998703003
126,116.50422739982605
127,1.1850395202636719
128,39.99774241447449
129,10.224006414413452
130,0.6331171989440918
131,4.830087900161743
132,116.49182558059692
133,5.19001030921936
134,1.3754205703735352
135,8.725158214569092
136,0.2663133144378662
137,10.626318216323853
138,3.0053813457489014
139,14.649357557296753
140,29.103442192077637
141,2.60280704498291
142,14.939242124557495
143,2.74358868598938
144,44.38627552986145
145,62.93627190589905
146,2.142082452774048
147,9.030280351638794
148,0.4498894214630127
149,23.763454914093018
150,8.462627172470093
151,71.94747185707092
152,27.358704328536987
