ID,WF-to-POWL converter,Transitions,Labeled Transitions,Places,Arcs,POWL Leaves,WF-to-tree coverter,Size (|Transitions| + |Places|)
477,0.037012815,70,44,64,164,44,0.419235468,134
548,0.027009249,71,40,64,168,40,1.070995808,135
561,0.02166605,71,43,64,168,43,1.029691219,135
703,0.056252718,76,43,59,166,43,0.828734159,135
949,0.080007315,73,40,63,166,40,1.001540899,136
234,0.112569094,73,43,63,170,43,0.628754377,136
533,0.067999601,77,35,60,166,35,0.498100519,137
174,0.074990511,77,41,60,168,41,1.367233753,137
936,0.12975955,70,42,67,164,42,0.418315172,137
506,0.029594421,74,42,63,172,42,0.638557196,137
653,0.026640892,73,44,64,166,44,0.554836512,137
628,0.081999779,75,41,63,172,41,0.675432682,138
789,0.049995661,77,41,61,172,41,0.720174551,138
377,0.03093195,73,37,66,172,37,1.609373569,139
287,0.058311701,68,40,71,172,40,1.43228817,139
361,0.043352127,80,41,59,172,41,1.306055307,139
226,0.047200918,76,42,64,172,42,0.511392117,140
831,0.067998648,78,46,62,176,46,0.539080381,140
417,0.03303051,74,50,66,168,50,0.956804991,140
951,0.079299927,73,47,68,174,47,1.85230875,141
669,0.076097965,85,52,57,186,52,0.570115089,142
526,0.022928476,72,43,72,180,43,0.692321301,144
317,0.050470829,73,49,71,174,49,1.028799057,144
565,0.050135374,78,42,67,180,42,1.504587173,145
890,0.084342718,80,43,65,178,43,0.685359955,145
52,0.035000324,77,44,68,174,44,0.689971924,145
897,0.086782694,80,49,65,180,49,0.512928724,145
32,0.024999619,73,50,72,178,50,0.470194817,145
927,0.107876062,76,45,70,172,45,0.863251686,146
292,0.032454729,77,45,69,180,45,1.318606615,146
335,0.05700016,79,45,67,176,45,1.377656698,146
693,0.025455236,83,48,63,188,48,1.143266439,146
582,0.032334328,74,44,73,180,44,0.792927504,147
982,0.224988937,80,45,67,182,45,0.768813133,147
321,0.036999941,82,48,65,184,48,1.485834122,147
953,0.104205847,79,45,69,180,45,2.071387768,148
77,0.074317932,77,39,72,180,39,1.363372326,149
90,0.066073179,79,40,70,184,40,2.151569128,149
756,0.095750093,79,41,70,182,41,0.85434866,149
815,0.038374424,85,43,65,186,43,0.698611021,150
697,0.051464319,82,44,68,186,44,1.147529364,150
810,0.076002121,81,43,70,188,43,0.664271593,151
516,0.02826643,81,44,72,192,44,0.689112425,153
231,0.042577505,82,40,72,190,40,0.885042906,154
784,0.049928904,80,44,74,190,44,0.721415758,154
56,0.059549093,84,44,70,192,44,2.139922619,154
108,0.062005758,81,45,73,188,45,0.611690283,154
215,0.054000616,82,46,72,190,46,0.697396278,154
44,0.026993752,84,46,70,192,46,0.931772947,154
741,0.033481121,82,43,73,190,43,0.949286461,155
888,0.037072182,86,48,69,190,48,0.677262306,155
786,0.05514884,83,49,72,196,49,0.868764639,155
494,0.075097084,80,44,76,194,44,0.770288229,156
649,0.023999691,85,49,71,190,49,0.834623814,156
496,0.068630695,85,53,71,192,53,0.894505501,156
769,0.048999786,82,42,75,194,42,0.972637177,157
987,0.170559406,82,45,75,192,45,3.14215374,157
427,0.050997972,88,52,69,198,52,1.471110821,157
941,0.12734127,87,43,71,194,43,0.917216778,158
96,0.060454369,81,48,77,194,48,2.45843482,158
627,0.029002905,83,52,75,202,52,1.064245701,158
92,0.08393383,88,55,71,194,55,2.170436859,159
25,0.107559443,86,46,74,198,46,0.816333055,160
571,0.069632292,84,47,76,196,47,2.065052271,160
790,0.132563114,82,50,78,200,50,0.670013189,160
650,0.052889585,89,42,72,200,42,1.075008631,161
593,0.034203291,89,45,72,200,45,0.909026861,161
175,0.051680565,87,56,74,198,56,1.68805027,161
125,0.119838476,88,47,75,202,47,2.323734999,163
570,0.081671476,87,50,76,200,50,2.030983925,163
899,0.057229996,89,58,74,204,58,0.8660748,163
472,0.069999933,87,47,78,202,47,0.927072287,165
342,0.089997292,88,48,77,202,48,1.7247684,165
362,0.069999218,89,51,76,202,51,1.957199574,165
203,0.06499958,87,46,79,200,46,0.98931551,166
681,0.090820551,90,50,76,204,50,1.160709143,166
887,0.164064884,95,49,72,210,49,1.00968051,167
91,0.054072142,91,53,76,206,53,3.271410942,167
842,0.122325182,96,52,72,210,52,2.367182732,168
88,0.094101191,97,53,71,210,53,6.516471624,168
30,0.051999331,89,53,80,212,53,0.823623657,169
146,0.033964872,86,53,84,210,53,2.142082453,170
298,0.052327394,91,57,79,210,57,1.862102747,170
778,0.130240202,95,43,76,210,43,1.21243,171
207,0.115130424,91,47,80,208,47,1.092286825,171
374,0.036000252,95,48,76,214,48,2.614730835,171
264,0.068471909,86,49,85,206,49,2.239732504,171
143,0.040978909,90,49,81,212,49,2.743588686,171
441,0.038269281,99,51,72,218,51,0.9961133,171
229,0.032072783,91,55,80,206,55,1.095956087,171
38,0.046061516,91,55,80,208,55,1.000999689,171
680,0.132077932,100,45,72,208,45,1.491283894,172
112,0.176142454,96,46,76,212,46,3.171368122,172
787,0.055008173,91,50,81,214,50,1.016178131,172
345,0.102225304,97,55,75,218,55,2.619904041,172
623,0.108383656,99,48,74,214,48,1.561796188,173
914,0.218597889,92,50,81,214,50,1.253001451,173
709,0.079210281,91,53,82,210,53,1.619261503,173
430,0.050605059,94,46,80,212,46,3.026898384,174
187,0.039936066,91,47,83,216,47,2.775663853,174
504,0.038922787,94,50,80,220,50,0.954135895,174
933,0.112984896,92,51,82,214,51,0.915068388,174
705,0.116241932,93,55,81,216,55,1.816926956,174
196,0.082014084,92,51,83,212,51,0.996870756,175
950,0.127035379,91,53,84,216,53,4.448664665,175
574,0.055372238,99,54,76,216,54,0.938160181,175
734,0.070996284,93,45,83,218,45,1.712883472,176
269,0.125693321,92,47,84,212,47,2.333485365,176
654,0.043014288,92,48,84,214,48,1.480173349,176
929,0.2559793,94,48,82,222,48,1.427014589,176
584,0.132372379,96,52,80,218,52,1.363872528,176
237,0.128037453,98,54,78,214,54,1.185413122,176
805,0.162358999,94,48,83,216,48,1.002379894,177
554,0.055006981,102,53,75,224,53,2.687551975,177
521,0.047103882,93,51,85,220,51,1.15511632,178
564,0.029999971,89,56,89,222,56,2.422262192,178
524,0.048000097,101,58,77,224,58,0.95643568,178
299,0.092003107,91,45,88,220,45,3.181087255,179
12,0.07016468,96,50,83,220,50,0.902164936,179
874,0.052092314,98,51,81,224,51,3.404059887,179
843,0.06912446,101,58,78,220,58,3.831184149,179
316,0.113052368,100,55,80,222,55,2.000808477,180
722,0.107407331,95,46,86,220,46,1.881126642,181
645,0.04899931,98,57,83,226,57,1.462500334,181
749,0.064648628,97,51,85,224,51,2.385530233,182
456,0.124025106,101,53,81,228,53,0.992218018,182
648,0.09239912,101,55,81,228,55,2.327551365,182
103,0.084263086,99,64,83,228,64,3.095925808,182
962,0.181716442,97,53,86,224,53,2.903176546,183
976,0.13586998,90,48,94,228,48,0.974731922,184
233,0.06339097,99,50,85,226,50,1.482764006,184
498,0.106074572,104,50,80,230,50,1.623995304,184
942,0.182424307,97,57,87,230,57,1.375719309,184
723,0.108961344,103,53,82,228,53,1.914858341,185
205,0.096063375,99,51,87,228,51,1.120100975,186
757,0.108420134,100,54,86,232,54,1.707471848,186
18,0.042159081,100,59,86,230,59,1.162095547,186
350,0.114733696,97,62,89,226,62,1.969634295,186
14,0.053000212,101,51,86,230,51,1.315489531,187
326,0.100996733,102,56,85,228,56,3.992978811,187
440,0.043998957,101,50,87,236,50,1.520607471,188
178,0.07326889,98,52,90,228,52,2.982577324,188
717,0.067178011,102,54,86,240,54,3.270198345,188
354,0.062639475,102,60,86,234,60,3.189996958,188
351,0.120130777,102,54,87,234,54,3.469157457,189
915,0.122338533,103,57,86,242,57,1.646872044,189
358,0.114458799,103,53,87,234,53,2.65065527,190
479,0.108910799,107,53,83,234,53,2.594714642,190
141,0.042348862,95,58,95,236,58,2.602807045,190
184,0.124541521,106,59,84,240,59,2.869697332,190
925,0.159134388,104,64,87,236,64,1.20177412,191
978,0.201694489,107,54,85,234,54,1.438466787,192
678,0.063037157,106,57,86,238,57,2.659762859,192
682,0.129615307,103,53,90,234,53,1.854479074,193
371,0.044100046,100,59,93,236,59,2.553958416,193
714,0.056230545,108,60,85,240,60,1.900689125,193
22,0.102020502,104,54,90,242,54,1.937882185,194
225,0.262932777,108,56,86,238,56,1.863280058,194
900,0.089365482,106,61,88,242,61,1.324089527,194
850,0.065802097,110,65,84,238,65,3.8148458,194
975,0.228322029,109,67,85,240,67,1.40179491,194
578,0.111485243,103,55,92,244,55,1.42572546,195
159,0.042999983,99,60,96,242,60,3.163381577,195
389,0.073508024,106,61,89,240,61,3.40798378,195
219,0.092700958,110,62,85,244,62,1.649683714,195
991,0.271031618,108,49,88,242,49,4.455076218,196
254,0.155426502,109,56,87,244,56,2.53361392,196
873,0.125555754,109,58,87,240,58,3.50402689,196
595,0.089776278,112,65,84,250,65,1.88629055,196
829,0.123492718,104,70,92,240,70,1.31913662,196
762,0.048999786,103,57,94,248,57,2.39950037,197
386,0.075270891,107,67,90,242,67,3.077133656,197
913,0.182195663,108,55,90,250,55,1.84482789,198
510,0.052996874,106,60,92,246,60,1.603657722,198
519,0.118996859,112,55,87,246,55,1.903537989,199
242,0.047001123,109,64,92,250,64,1.65102458,201
865,0.140238523,112,62,90,248,62,4.216159105,202
162,0.143551588,108,66,94,250,66,4.125278711,202
154,0.223101616,108,55,95,246,55,4.254710197,203
973,0.342619181,111,57,92,248,57,1.558676958,203
753,0.093000412,102,61,101,250,61,2.839625597,203
5,0.0670259,111,65,92,250,65,1.478756666,203
372,0.057000399,105,53,99,256,53,5.901675701,204
286,0.10433054,110,61,95,254,61,5.00420785,205
594,0.117338181,110,62,95,258,62,2.024028063,205
331,0.114432573,104,69,101,250,69,3.278820038,205
373,0.080002069,108,55,98,254,55,4.743889093,206
763,0.066071749,108,64,98,256,64,2.7339921,206
934,0.409968853,115,64,91,258,64,2.577489138,206
944,0.196225643,110,55,97,256,55,2.34529376,207
525,0.08300662,109,66,98,254,66,1.558939934,207
442,0.12629962,111,66,96,258,66,1.519383907,207
535,0.073001385,107,55,101,252,55,1.802269697,208
530,0.064061642,114,57,94,258,57,1.967391253,208
367,0.086972952,110,58,98,254,58,4.888616323,208
743,0.061928272,110,65,98,258,65,1.980751753,208
515,0.05599761,107,56,102,258,56,2.236946821,209
245,0.139811516,111,59,99,258,59,2.457895041,210
